fuels,subfuels,CO2e emissions factor,Unit,Gas
01_coal,01_01_coking_coal,0.0946,Mt/PJ,CARBON DIOXIDE
01_coal,01_05_lignite,0.10100000000000002,Mt/PJ,CARBON DIOXIDE
01_coal,01_x_thermal_coal,0.09459999999999999,Mt/PJ,CARBON DIOXIDE
01_coal,x,0.09435490196078432,Mt/PJ,CARBON DIOXIDE
02_coal_products,x,0.09834832389603516,Mt/PJ,CARBON DIOXIDE
03_peat,x,0.106,Mt/PJ,CARBON DIOXIDE
04_peat_products,x,0.1056,Mt/PJ,CARBON DIOXIDE
05_oil_shale_and_oil_sands,x,,Mt/PJ,CARBON DIOXIDE
06_crude_oil_and_ngl,06_01_crude_oil,0.0733,Mt/PJ,CARBON DIOXIDE
06_crude_oil_and_ngl,06_02_natural_gas_liquids,0.06420000000000001,Mt/PJ,CARBON DIOXIDE
06_crude_oil_and_ngl,06_x_other_hydrocarbons,0.0733,Mt/PJ,CARBON DIOXIDE
06_crude_oil_and_ngl,x,0.0733,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,07_01_motor_gasoline,0.0693,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,07_02_aviation_gasoline,0.06999999999999999,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,07_03_naphtha,0.07330000000000002,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,07_06_kerosene,0.07163209376881183,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,07_07_gas_diesel_oil,0.07410006012619073,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,07_08_fuel_oil,0.0774,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,07_09_lpg,0.0631,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,07_10_refinery_gas_not_liquefied,0.0576,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,07_11_ethane,0.06159999999999999,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,07_x_jet_fuel,0.07149994249946699,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,07_x_other_petroleum_products,0.07330000000000002,Mt/PJ,CARBON DIOXIDE
07_petroleum_products,x,0.07309469696969698,Mt/PJ,CARBON DIOXIDE
08_gas,08_01_natural_gas,0.05609782640636744,Mt/PJ,CARBON DIOXIDE
08_gas,08_02_lng,0.0630935032834447,Mt/PJ,CARBON DIOXIDE
08_gas,08_03_gas_works_gas,0.0444,Mt/PJ,CARBON DIOXIDE
08_gas,x,0.056100000000000004,Mt/PJ,CARBON DIOXIDE
09_nuclear,x,,Mt/PJ,CARBON DIOXIDE
10_hydro,x,,Mt/PJ,CARBON DIOXIDE
11_geothermal,x,,Mt/PJ,CARBON DIOXIDE
12_solar,12_01_of_which_photovoltaics,,Mt/PJ,CARBON DIOXIDE
12_solar,12_x_other_solar,,Mt/PJ,CARBON DIOXIDE
12_solar,x,,Mt/PJ,CARBON DIOXIDE
13_tide_wave_ocean,x,,Mt/PJ,CARBON DIOXIDE
14_wind,x,,Mt/PJ,CARBON DIOXIDE
15_solid_biomass,15_01_fuelwood_and_woodwaste,0.11200000000000002,Mt/PJ,CARBON DIOXIDE
15_solid_biomass,15_02_bagasse,0.10441261111128461,Mt/PJ,CARBON DIOXIDE
15_solid_biomass,15_03_charcoal,0.11200000000000003,Mt/PJ,CARBON DIOXIDE
15_solid_biomass,15_04_black_liquor,0.0953,Mt/PJ,CARBON DIOXIDE
15_solid_biomass,15_05_other_biomass,0.1,Mt/PJ,CARBON DIOXIDE
15_solid_biomass,x,0.11154362723903753,Mt/PJ,CARBON DIOXIDE
16_others,16_01_biogas,0.054611514702085355,Mt/PJ,CARBON DIOXIDE
16_others,16_02_industrial_waste,0.143,Mt/PJ,CARBON DIOXIDE
16_others,16_03_municipal_solid_waste_renewable,0.09999999999999999,Mt/PJ,CARBON DIOXIDE
16_others,16_04_municipal_solid_waste_nonrenewable,0.09169999999999999,Mt/PJ,CARBON DIOXIDE
16_others,16_05_biogasoline,0.0708,Mt/PJ,CARBON DIOXIDE
16_others,16_06_biodiesel,0.0708,Mt/PJ,CARBON DIOXIDE
16_others,16_07_bio_jet_kerosene,0.07475052093564638,Mt/PJ,CARBON DIOXIDE
16_others,16_08_other_liquid_biofuels,0.0796,Mt/PJ,CARBON DIOXIDE
16_others,16_09_other_sources,,Mt/PJ,CARBON DIOXIDE
16_others,16_x_ammonia,,Mt/PJ,CARBON DIOXIDE
16_others,16_x_efuel,,Mt/PJ,CARBON DIOXIDE
16_others,16_x_hydrogen,,Mt/PJ,CARBON DIOXIDE
16_others,x,,Mt/PJ,CARBON DIOXIDE
17_electricity,x,,Mt/PJ,CARBON DIOXIDE
17_x_green_electricity,x,,Mt/PJ,CARBON DIOXIDE
18_heat,x,,Mt/PJ,CARBON DIOXIDE
19_total,x,,Mt/PJ,CARBON DIOXIDE
20_total_renewables,x,,Mt/PJ,CARBON DIOXIDE
21_modern_renewables,x,,Mt/PJ,CARBON DIOXIDE
